ticker,drug_name,phase,outcome,category,success,date,tier,alpha,beta,car_short,ret_long_entry_exit,ar_long_entry_exit,ret_short_entry_exit,ar_short_entry_exit
MRK,Anacetrapib (MK-0859),Phase 3,met,Phase 3 met,True,2017-06-27,large,-0.0005741755511010466,0.14295855703619537,-0.021037287597444276,0.012138382968315264,0.032014307657348695,0.0037543477552191007,-0.0030843491847024618
MRK,Anacetrapib (MK-0859),Phase 3,met,Phase 3 met,True,2017-08-29,large,-0.0003157197697868927,0.12862230170044922,0.011360841895358798,-0.13388663272525259,-0.1158755233544767,0.021222519193719203,0.013570431439496655
MRK,Epacadostat with Keytruda - ECHO-301,Phase 3,miss,Phase 3 miss,False,2018-04-06,large,-0.0008518453477076665,0.2685645657287451,0.03532421991082968,0.1608010597353935,0.22584446529764457,0.04534659473169422,0.06978597092251371
MRK,KEYNOTE-040 KEYTRUDA,Phase 3,miss,Phase 3 miss,False,2017-07-24,large,-0.00036919728600566786,0.1140228003770708,-0.013663592848063844,-0.025415660504255255,-0.00431039008614742,0.011399239744434464,0.01731749754752343
MRK,KEYTRUDA + carboplatin-paclitaxel or nab-paclitaxel KEYNOTE-407,Phase 3,met,Phase 3 met,True,2018-06-03,large,-0.00030761616261950687,0.2794691305722672,0.027703789639661025,0.20146132892339574,0.17927524613522916,0.055188485655745634,0.05369620914914219
MRK,KEYTRUDA - EORTC1325/KEYNOTE-054,Phase 3,met,Phase 3 met,True,2018-04-15,large,-0.0012705002185482196,0.2824136540987379,0.04962494871475398,0.14160554586429286,0.2493253790287362,0.10611368458540071,0.12694041124251698
MRK,Keytruda,Phase 3,miss,Phase 3 miss,False,2017-12-14,large,-0.0005926768030708287,0.2149320496463641,0.012399061751103169,0.010665675125120178,0.028966731143019953,0.03109566463890734,0.03471432722823131
MRK,Keytruda - KEYNOTE-042,Phase 3,met,Phase 3 met,True,2018-04-09,large,-0.0009532215673654839,0.27090715229244045,0.029183721706603105,0.15131226244129703,0.22710523901390078,0.08370330938952786,0.10408508686474227
MRK,Keytruda - KEYNOTE-042,Phase 3,met,Phase 3 met,True,2018-06-03,large,-0.00030761616261950687,0.2794691305722672,0.027703789639661025,0.20146132892339574,0.17927524613522916,0.055188485655745634,0.05369620914914219
MRK,Keytruda - KEYNOTE-045,Phase 3,met,Phase 3 met,True,2017-06-04,large,-0.0010067044051964595,0.19702598515030403,-0.019994954743377313,0.014505123746313187,0.06340698283721236,0.007825967256366084,0.02032720000577659
